                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3409,                   1.76,                 1.4761,                 0.8992,                0.86473,                0.93798,                0.59828,                 1.2209,                 2.2304,                 1.3865,             0.00065476,             0.00065476,             0.00065476
                      2,                 1.2417,                0.98347,                 1.2783,                0.92042,                0.94416,                0.96147,                0.58691,                 1.3539,                 1.1258,                 1.4036,              0.0013149,              0.0013149,              0.0013149
                      3,                 1.2245,                0.83081,                 1.2613,                0.92807,                0.89796,                0.95738,                0.61567,                 1.2638,                0.95661,                 1.3928,              0.0019684,              0.0019684,              0.0019684
                      4,                 1.2109,                0.73649,                  1.254,                0.82607,                0.87236,                0.89093,                0.54235,                 1.2732,                 2.5077,                 1.3558,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.2015,                0.69994,                 1.2372,                0.94304,                0.94898,                0.95512,                 0.6339,                 1.2082,                0.64125,                  1.308,              0.0019703,              0.0019703,              0.0019703
                      6,                 1.1892,                0.65147,                 1.2352,                0.91663,                0.95918,                0.95098,                0.65977,                 1.1427,                0.60993,                 1.2618,              0.0019604,              0.0019604,              0.0019604
                      7,                 1.1339,                0.62129,                 1.2041,                0.98445,                0.96913,                0.98236,                0.67559,                 1.1438,                0.51661,                 1.2692,              0.0019505,              0.0019505,              0.0019505
                      8,                 1.1076,                0.60288,                 1.1854,                 0.9482,                0.93402,                0.96503,                0.68045,                 1.0892,                0.54435,                 1.2311,              0.0019406,              0.0019406,              0.0019406
                      9,                 1.1072,                 0.5844,                 1.1871,                0.93935,                0.97959,                0.98221,                0.69059,                 1.0938,                0.49373,                 1.2636,              0.0019307,              0.0019307,              0.0019307
                     10,                 1.0809,                0.58644,                 1.1806,                0.97947,                 0.9736,                0.98795,                0.70068,                 1.1418,                0.51967,                 1.2829,              0.0019208,              0.0019208,              0.0019208
                     11,                 1.1159,                0.57266,                  1.231,                0.95559,                0.98814,                0.98257,                0.69619,                 1.0607,                0.46059,                 1.2236,              0.0019109,              0.0019109,              0.0019109
                     12,                 1.0733,                 0.5695,                 1.1742,                0.95583,                0.99364,                0.99274,                0.70403,                 1.0726,                0.44274,                 1.2601,               0.001901,               0.001901,               0.001901
                     13,                 1.0618,                0.56746,                 1.1633,                0.95602,                0.99808,                0.98834,                0.68996,                 1.1293,                0.46652,                 1.2726,              0.0018911,              0.0018911,              0.0018911
                     14,                 1.0447,                0.56218,                 1.1593,                0.95183,                0.97449,                0.97364,                0.70697,                 1.0355,                0.45228,                 1.1778,              0.0018812,              0.0018812,              0.0018812
                     15,                 1.0268,                0.55149,                 1.1516,                0.96998,                0.98915,                0.99149,                0.73536,                0.91637,                 0.4124,                  1.122,              0.0018713,              0.0018713,              0.0018713
                     16,                 1.0388,                0.54392,                 1.1542,                0.96425,                0.98469,                0.98989,                0.70489,                 1.0256,                0.43102,                 1.1934,              0.0018614,              0.0018614,              0.0018614
                     17,                 1.0467,                0.54134,                 1.1547,                0.97446,                0.98469,                0.99285,                0.73531,                0.96803,                0.39642,                 1.1493,              0.0018515,              0.0018515,              0.0018515
                     18,                 1.0131,                0.52551,                 1.1402,                0.97422,                0.96386,                0.98141,                0.71255,                 1.0684,                0.45273,                 1.2176,              0.0018416,              0.0018416,              0.0018416
                     19,                 1.0315,                0.53072,                 1.1554,                0.96742,                0.98469,                0.98589,                0.72797,                 1.0373,                0.42937,                 1.1805,              0.0018317,              0.0018317,              0.0018317
                     20,                 1.0014,                0.51301,                  1.133,                0.97044,                 0.9898,                0.98786,                0.74123,                0.93285,                0.40473,                 1.1502,              0.0018218,              0.0018218,              0.0018218
                     21,                 1.0261,                0.53057,                 1.1429,                0.94992,                 0.9898,                0.98655,                0.73388,                 1.0375,                0.42113,                 1.1906,              0.0018119,              0.0018119,              0.0018119
                     22,                0.99499,                0.50968,                 1.1387,                0.95862,                 0.9949,                0.98276,                0.73352,                0.96536,                0.41308,                   1.14,               0.001802,               0.001802,               0.001802
                     23,                0.98437,                0.62255,                 1.1093,                0.98499,                0.97449,                0.99203,                0.75946,                0.95015,                  0.384,                 1.1191,              0.0017921,              0.0017921,              0.0017921
                     24,                 0.9925,                0.50879,                 1.1209,                0.97964,                0.98188,                0.98825,                0.74901,                0.93655,                0.38793,                 1.1138,              0.0017822,              0.0017822,              0.0017822
                     25,                 1.0039,                0.50655,                 1.1335,                0.96516,                0.98926,                0.99135,                0.74422,                0.95581,                0.38149,                 1.1303,              0.0017723,              0.0017723,              0.0017723
                     26,                 0.9858,                0.50442,                 1.1222,                0.97937,                0.96879,                0.99189,                0.74896,                0.96993,                0.38646,                 1.1429,              0.0017624,              0.0017624,              0.0017624
                     27,                0.99263,                0.50473,                 1.1304,                0.96973,                0.98061,                0.99153,                0.72612,                 1.0181,                 0.4115,                 1.1838,              0.0017525,              0.0017525,              0.0017525
                     28,                0.97542,                0.49978,                 1.1185,                0.97479,                 0.9898,                 0.9919,                0.73982,                0.98379,                0.38084,                 1.1534,              0.0017426,              0.0017426,              0.0017426
                     29,                0.96829,                0.49272,                 1.1251,                 0.9701,                 0.9933,                0.99274,                0.74216,                0.98857,                0.40211,                 1.1662,              0.0017327,              0.0017327,              0.0017327
                     30,                0.96955,                0.50002,                 1.1242,                0.98204,                0.98469,                0.99042,                0.72813,                0.99844,                0.39658,                 1.1764,              0.0017228,              0.0017228,              0.0017228
