                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7322,                 3.4004,                 3.7117,                0.30133,                0.27551,                0.21437,                  0.058,                  1.891,                 5.0184,                 3.0891,             0.00066365,             0.00066365,             0.00066365
                      2,                 2.2302,                 2.2062,                 2.8607,                0.72584,                0.76994,                0.81074,                0.48533,                 1.4005,                 1.5779,                 2.1856,              0.0013171,              0.0013171,              0.0013171
                      3,                 1.7784,                 1.6495,                 2.4049,                0.91728,                0.91837,                0.96332,                0.64226,                 1.1909,                 1.3559,                  1.812,              0.0019574,              0.0019574,              0.0019574
                      4,                 1.5725,                 1.3708,                 2.1665,                 0.9332,                0.92663,                0.97945,                0.61369,                 1.1747,                0.98037,                 1.8354,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.4512,                 1.1865,                 2.0472,                0.94073,                0.97171,                0.98154,                0.66055,                  1.146,                0.85427,                 1.8207,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.4058,                 1.1103,                 1.9771,                0.95856,                0.94407,                0.98275,                0.67011,                 1.1535,                0.79179,                 1.7541,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.3784,                 1.0395,                  1.938,                0.93595,                0.96921,                0.97103,                0.65638,                 1.1125,                0.85706,                 1.7567,               0.001901,               0.001901,               0.001901
                      8,                 1.3215,                0.99684,                 1.8857,                0.95935,                0.96339,                0.97923,                0.69293,                 1.0792,                0.64248,                 1.6926,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.2839,                0.93813,                 1.8421,                0.98083,                0.98469,                0.99003,                0.69666,                 1.0723,                0.64553,                 1.6891,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.2542,                0.90408,                 1.8273,                0.95019,                0.97329,                0.97857,                0.69213,                 1.0343,                0.62378,                 1.6767,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.2468,                0.87425,                 1.8007,                0.96676,                0.97449,                0.98714,                0.69073,                  1.041,                0.62961,                 1.6116,              0.0018218,              0.0018218,              0.0018218
                     12,                  1.226,                0.86877,                 1.7786,                0.97623,                0.96939,                0.98798,                0.69033,                 1.0268,                0.71086,                 1.6552,               0.001802,               0.001802,               0.001802
                     13,                 1.2046,                 0.8376,                 1.7646,                 0.9649,                0.97959,                0.98672,                0.71634,                 1.0192,                0.59281,                 1.6611,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.1813,                0.81698,                  1.725,                0.97748,                0.97959,                0.98862,                0.71342,                 1.0186,                0.57805,                 1.6049,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.1511,                0.76782,                 1.6872,                0.96547,                 0.9898,                0.99094,                0.72542,                0.96487,                0.56159,                 1.5829,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.1347,                0.74052,                 1.6826,                0.97012,                 0.9949,                0.98817,                0.71835,                0.97199,                0.63754,                 1.5764,              0.0017228,              0.0017228,              0.0017228
