                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3102,                 1.4803,                 1.4179,                0.93772,                0.96939,                0.97262,                0.62933,                 1.2374,                 1.0449,                 1.3519,             0.00066365,             0.00066365,             0.00066365
                      2,                 1.2733,                 0.9897,                 1.3383,                0.92427,                0.93402,                0.95559,                0.58583,                 1.3695,                 1.0121,                 1.4893,              0.0013171,              0.0013171,              0.0013171
                      3,                 1.2352,                0.82108,                  1.302,                0.98094,                0.95408,                0.97692,                0.65731,                 1.1864,                0.61998,                 1.3199,              0.0019574,              0.0019574,              0.0019574
                      4,                 1.2232,                0.73943,                 1.2744,                0.95092,                0.98852,                0.97785,                0.64742,                 1.1826,                0.57394,                  1.311,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.1943,                0.69299,                 1.2619,                 0.9554,                 0.9836,                0.98884,                0.67914,                 1.1218,                0.51759,                 1.2659,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.1875,                0.66503,                 1.2608,                0.96915,                0.97449,                0.99212,                 0.6938,                 1.1253,                0.51732,                 1.2683,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.1665,                0.65413,                 1.2482,                0.98455,                0.97547,                 0.9871,                0.68842,                 1.1029,                0.51027,                 1.2567,               0.001901,               0.001901,               0.001901
                      8,                 1.1474,                0.62923,                  1.232,                0.96609,                0.97959,                0.97937,                0.69959,                 1.0501,                0.47633,                 1.2163,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.1182,                0.60617,                   1.22,                0.96131,                0.98469,                0.97637,                0.70335,                 1.0598,                0.47188,                 1.2292,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.1109,                0.59917,                  1.214,                0.96296,                 0.9898,                0.98049,                0.70208,                 1.0672,                0.46281,                 1.2457,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.1051,                0.59656,                 1.2168,                0.96962,                0.97697,                0.99186,                0.71649,                 1.0296,                0.46355,                 1.2002,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.0647,                0.57843,                 1.1861,                0.97309,                0.98469,                0.99251,                0.70947,                 1.0421,                0.46658,                 1.2124,               0.001802,               0.001802,               0.001802
                     13,                  1.061,                0.56907,                 1.1905,                0.98313,                0.97959,                 0.9892,                0.72305,                 1.0395,                0.45838,                 1.2095,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.0483,                0.55816,                 1.1886,                0.96504,                 0.9898,                0.99261,                0.72355,                 1.0034,                0.45395,                 1.1887,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.0678,                0.56101,                 1.1939,                0.98117,                0.97449,                0.98965,                0.71379,                  1.015,                0.45165,                 1.1946,              0.0017426,              0.0017426,              0.0017426
